Timestamp,Phase,CPU_Temp_C,MemTotal_kB,MemFree_kB
2026-03-03 06:12:16,Idle_Before,44.5,4025500,791772
2026-03-03 06:12:18,Idle_Before,50.2,4025500,791272
2026-03-03 06:12:20,Idle_Before,46.4,4025500,791272
2026-03-03 06:12:22,Stressing,91.6,4025500,790516
2026-03-03 06:12:24,Stressing,94.7,4025500,790012
2026-03-03 06:12:26,Stressing,79,4025500,790012
2026-03-03 06:12:29,Stressing,83.2,4025500,790012
2026-03-03 06:12:31,Stressing,86.4,4025500,790012
2026-03-03 06:12:33,Idle_After,49.1,4025500,789760
2026-03-03 06:12:35,Idle_After,42.4,4025500,789512
2026-03-03 06:12:37,Idle_After,42.4,4025500,789512
2026-03-03 06:25:36,Idle_Before,45.4,4025500,794992
2026-03-03 06:25:38,Idle_Before,45.4,4025500,793228
2026-03-03 06:25:40,Idle_Before,44.4,4025500,793228
2026-03-03 06:25:42,Stressing,44.1,4025500,788692
2026-03-03 06:25:44,Stressing,46.2,4025500,788692
2026-03-03 06:25:46,Stressing,51.2,4025500,788196
2026-03-03 06:25:48,Stressing,54,4025500,786432
2026-03-03 06:25:50,Stressing,55.8,4025500,786432
2026-03-03 06:25:52,Stressing,57.5,4025500,786432
2026-03-03 06:25:54,Stressing,59.4,4025500,786184
2026-03-03 06:25:56,Stressing,61.2,4025500,786184
2026-03-03 06:25:58,Idle_After,62.7,4025500,785688
2026-03-03 06:26:00,Idle_After,63.2,4025500,785688
2026-03-03 06:26:02,Idle_After,57.7,4025500,785688
