Timestamp,Current_Temp_C,Target_Temp_C,Load_Factor,MemFree_kB
2026-03-04 14:44:39,42.4,55.0,1.0,2526476
2026-03-04 14:44:40,42.4,55.0,1.0,2526224
2026-03-04 14:44:41,46.6,55.0,1.0,2519432
2026-03-04 14:44:42,46.6,55.0,1.0,2517920
2026-03-04 14:44:43,50.5,55.0,1.0,2517672
2026-03-04 14:44:44,50.5,55.0,1.0,2517672
2026-03-04 14:44:45,53.0,55.0,1.0,2517424
2026-03-04 14:44:46,53.0,55.0,1.0,2517424
2026-03-04 14:44:47,55.1,55.0,1.0,2517424
2026-03-04 14:44:48,55.1,55.0,1.0,2517176
2026-03-04 14:44:49,57.0,55.0,1.0,2517176
2026-03-04 14:44:50,57.0,55.0,1.0,2517176
2026-03-04 14:44:51,59.2,55.0,0.707,2516928
2026-03-04 14:44:52,59.2,55.0,0.727,2516928
2026-03-04 14:44:53,60.5,55.0,0.42,2516680
2026-03-04 14:44:54,60.5,55.0,0.37,2516680
2026-03-04 14:44:55,59.3,55.0,0.461,2516680
2026-03-04 14:44:56,59.3,55.0,0.314,2516432
2026-03-04 14:44:57,56.9,55.0,0.633,2516432
2026-03-04 14:44:58,56.9,55.0,0.476,2516432
2026-03-04 14:44:59,56.6,55.0,0.489,2515928
2026-03-04 14:45:00,56.6,55.0,0.441,2515928
2026-03-04 14:45:01,57.9,55.0,0.188,2515928
2026-03-04 14:45:02,57.9,55.0,0.193,2515928
2026-03-04 14:45:03,56.2,55.0,0.422,2515680
2026-03-04 14:45:04,56.2,55.0,0.314,2515680
2026-03-04 14:45:05,56.2,55.0,0.29,2515432
2026-03-04 14:45:07,56.2,55.0,0.265,2515432
2026-03-04 14:45:08,55.9,55.0,0.291,2515432
2026-03-04 14:45:09,55.9,55.0,0.258,2514936
